feature,importance
Previous_Campaign_Success,0.22759928
Loan_Risk_Index,0.07584197
Marketing_Effectiveness,0.059377152
campaign,0.05681136
month_mar,0.04855637
month_oct,0.048013832
month_may,0.046164803
poutcome_failure,0.0439559
month_sep,0.029063718
month_nov,0.026604597
month_apr,0.024462959
month_feb,0.022010814
marital_married,0.018082628
education_tertiary,0.01740413
month_jan,0.01701313
month_dec,0.015661314
housing_no,0.01550454
job_blue-collar,0.013424347
month_jul,0.012759082
age,0.012417197
month_jun,0.012355169
month_aug,0.012146006
day,0.012066018
education_primary,0.011315661
balance,0.00904639
Financial_Stability_Index,0.008025991
job_housemaid,0.007934578
poutcome_other,0.00779566
marital_single,0.0076569007
job_technician,0.007043178
marital_divorced,0.0067837005
job_management,0.0067506577
contact_cellular,0.006664768
job_entrepreneur,0.0060096704
job_unemployed,0.0059673595
job_student,0.005926105
education_secondary,0.005782416
loan_no,0.0055445586
job_self-employed,0.0052180863
job_admin.,0.005131763
job_retired,0.0051159165
job_services,0.0045229667
default_no,0.004467362
pdays,0.0
Customer_Engagement_Index,0.0
previous,0.0
default_yes,0.0
loan_yes,0.0
housing_yes,0.0
contact_telephone,0.0
poutcome_success,0.0
